"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7142","User can open and view book's details in the Book Store","Surefire suite","Mon Apr 06 07:25:35 UTC 2026","failed","Mon Apr 06 07:25:42 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","7112","User is able to add a book into his collection from Book Store","Surefire suite","Mon Apr 06 07:25:18 UTC 2026","failed","Mon Apr 06 07:25:25 UTC 2026","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","1602","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Apr 06 07:25:06 UTC 2026","passed","Mon Apr 06 07:25:08 UTC 2026","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","10116","User can see all available books in the Book Store","Surefire suite","Mon Apr 06 07:25:17 UTC 2026","broken","Mon Apr 06 07:25:27 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
