"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6151","User is able to add a book into his collection from Book Store","Surefire suite","Mon Sep 15 06:25:52 UTC 2025","failed","Mon Sep 15 06:25:58 UTC 2025","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","1","reopenBookStorePage","Surefire suite","Mon Sep 15 06:40:41 UTC 2025","broken","Mon Sep 15 06:40:41 UTC 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","reopenBookStorePage"
"","360106","User can see all available books in the Book Store","Surefire suite","Mon Sep 15 06:25:41 UTC 2025","broken","Mon Sep 15 06:31:41 UTC 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","1104","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Sep 15 06:25:28 UTC 2025","passed","Mon Sep 15 06:25:29 UTC 2025","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","0","User can open and view book's details in the Book Store","Surefire suite","Mon Sep 15 06:40:41 UTC 2025","skipped","Mon Sep 15 06:40:41 UTC 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","0","checkConsoleErrors","Surefire suite","Mon Sep 15 06:43:41 UTC 2025","broken","Mon Sep 15 06:43:41 UTC 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","checkConsoleErrors"
