"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7051","User can open and view book's details in the Book Store","Surefire suite","Mon Feb 23 07:01:13 UTC 2026","failed","Mon Feb 23 07:01:20 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","1201","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Feb 23 07:00:36 UTC 2026","passed","Mon Feb 23 07:00:37 UTC 2026","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","10056","User can see all available books in the Book Store","Surefire suite","Mon Feb 23 07:00:55 UTC 2026","broken","Mon Feb 23 07:01:05 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","7101","User is able to add a book into his collection from Book Store","Surefire suite","Mon Feb 23 07:00:56 UTC 2026","failed","Mon Feb 23 07:01:04 UTC 2026","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
