"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1447","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","2026-08-10","passed","2026-08-10","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","10114","User can see all available books in the Book Store","Surefire suite","2026-08-10","broken","2026-08-10","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","7008","User can open and view book's details in the Book Store","Surefire suite","2026-08-10","failed","2026-08-10","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","7059","User is able to add a book into his collection from Book Store","Surefire suite","2026-08-10","failed","2026-08-10","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
