"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","User is able to add a book into his collection from Book Store","Surefire suite","Mon Apr 20 08:01:40 UTC 2026","skipped","Mon Apr 20 08:01:40 UTC 2026","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","7021","User can open and view book's details in the Book Store","Surefire suite","Mon Apr 20 08:02:21 UTC 2026","failed","Mon Apr 20 08:02:28 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","2","loginAndGetDataForTests","Surefire suite","Mon Apr 20 08:01:40 UTC 2026","failed","Mon Apr 20 08:01:40 UTC 2026","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","loginAndGetDataForTests"
"","10216","User can see all available books in the Book Store","Surefire suite","Mon Apr 20 08:02:03 UTC 2026","broken","Mon Apr 20 08:02:14 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","1180","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Apr 20 08:02:59 UTC 2026","passed","Mon Apr 20 08:03:00 UTC 2026","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","0","deleteTestBookFromCollectionAndReopenBookStore","Surefire suite","Mon Apr 20 08:01:40 UTC 2026","broken","Mon Apr 20 08:01:40 UTC 2026","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","deleteTestBookFromCollectionAndReopenBookStore"
