"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3630","User can see all available books in the Book Store","Surefire suite","Mon Jan 19 06:34:00 UTC 2026","passed","Mon Jan 19 06:34:04 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","28578","User can open and view book's details in the Book Store","Surefire suite","Mon Jan 19 06:34:34 UTC 2026","failed","Mon Jan 19 06:35:02 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","7886","User is able to add a book into his collection from Book Store","Surefire suite","Mon Jan 19 06:34:16 UTC 2026","failed","Mon Jan 19 06:34:24 UTC 2026","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","967","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Jan 19 06:33:51 UTC 2026","passed","Mon Jan 19 06:33:52 UTC 2026","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
