"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1675","User can see all available books in the Book Store","Surefire suite","Mon Jul 14 06:27:31 GMT 2025","passed","Mon Jul 14 06:27:32 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","7582","User is able to add a book into his collection from Book Store","Surefire suite","Mon Jul 14 06:27:46 GMT 2025","failed","Mon Jul 14 06:27:54 GMT 2025","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","28840","User can open and view book's details in the Book Store","Surefire suite","Mon Jul 14 06:28:02 GMT 2025","failed","Mon Jul 14 06:28:31 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","853","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Jul 14 06:27:23 GMT 2025","passed","Mon Jul 14 06:27:24 GMT 2025","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
