"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27265","User can open and view book's details in the Book Store","Surefire suite","Mon Jan 20 06:21:16 GMT 2025","failed","Mon Jan 20 06:21:43 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","1492","User can see all available books in the Book Store","Surefire suite","Mon Jan 20 06:20:44 GMT 2025","passed","Mon Jan 20 06:20:46 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","1222","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Jan 20 06:20:34 GMT 2025","passed","Mon Jan 20 06:20:35 GMT 2025","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","7575","User is able to add a book into his collection from Book Store","Surefire suite","Mon Jan 20 06:20:59 GMT 2025","failed","Mon Jan 20 06:21:06 GMT 2025","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
