"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","544","User can see all available books in the Book Store","Surefire suite","Mon Mar 24 06:22:17 GMT 2025","passed","Mon Mar 24 06:22:17 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","27885","User can open and view book's details in the Book Store","Surefire suite","Mon Mar 24 06:22:50 GMT 2025","failed","Mon Mar 24 06:23:17 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","961","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Mar 24 06:22:14 GMT 2025","passed","Mon Mar 24 06:22:15 GMT 2025","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","7533","User is able to add a book into his collection from Book Store","Surefire suite","Mon Mar 24 06:22:29 GMT 2025","failed","Mon Mar 24 06:22:37 GMT 2025","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
