"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1138","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Mar 23 07:05:47 UTC 2026","passed","Mon Mar 23 07:05:48 UTC 2026","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","10079","User can see all available books in the Book Store","Surefire suite","Mon Mar 23 07:06:08 UTC 2026","broken","Mon Mar 23 07:06:18 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","7068","User can open and view book's details in the Book Store","Surefire suite","Mon Mar 23 07:06:26 UTC 2026","failed","Mon Mar 23 07:06:33 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","6891","User is able to add a book into his collection from Book Store","Surefire suite","Mon Mar 23 07:06:09 UTC 2026","failed","Mon Mar 23 07:06:16 UTC 2026","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
