"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7495","User is able to add a book into his collection from Book Store","Surefire suite","Mon Nov 04 06:22:00 GMT 2024","failed","Mon Nov 04 06:22:08 GMT 2024","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","27092","User can open and view book's details in the Book Store","Surefire suite","Mon Nov 04 06:22:19 GMT 2024","failed","Mon Nov 04 06:22:46 GMT 2024","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","909","User can see all available books in the Book Store","Surefire suite","Mon Nov 04 06:21:47 GMT 2024","passed","Mon Nov 04 06:21:48 GMT 2024","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","900","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Nov 04 06:21:45 GMT 2024","passed","Mon Nov 04 06:21:46 GMT 2024","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
