"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2329","User can see all available books in the Book Store","Surefire suite","Mon Dec 29 06:30:37 UTC 2025","passed","Mon Dec 29 06:30:39 UTC 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","1070","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Dec 29 06:30:31 UTC 2025","passed","Mon Dec 29 06:30:32 UTC 2025","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","5644","User is able to add a book into his collection from Book Store","Surefire suite","Mon Dec 29 06:30:51 UTC 2025","failed","Mon Dec 29 06:30:56 UTC 2025","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","28229","User can open and view book's details in the Book Store","Surefire suite","Mon Dec 29 06:31:10 UTC 2025","failed","Mon Dec 29 06:31:39 UTC 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
