"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2277","User can see all available books in the Book Store","Surefire suite","Mon Nov 10 06:27:30 UTC 2025","passed","Mon Nov 10 06:27:33 UTC 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","28849","User can open and view book's details in the Book Store","Surefire suite","Mon Nov 10 06:28:05 UTC 2025","failed","Mon Nov 10 06:28:33 UTC 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","911","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Nov 10 06:27:23 UTC 2025","passed","Mon Nov 10 06:27:24 UTC 2025","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","1","deleteTestBookFromCollectionAndReopenBookStore","Surefire suite","Mon Nov 10 06:36:35 UTC 2025","broken","Mon Nov 10 06:36:35 UTC 2025","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","deleteTestBookFromCollectionAndReopenBookStore"
"","1","User is able to add a book into his collection from Book Store","Surefire suite","Mon Nov 10 06:36:35 UTC 2025","skipped","Mon Nov 10 06:36:35 UTC 2025","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
