"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1061","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Feb 24 10:04:03 GMT 2025","passed","Mon Feb 24 10:04:04 GMT 2025","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","7627","User is able to add a book into his collection from Book Store","Surefire suite","Mon Feb 24 10:04:38 GMT 2025","failed","Mon Feb 24 10:04:46 GMT 2025","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","492","User can see all available books in the Book Store","Surefire suite","Mon Feb 24 10:04:06 GMT 2025","passed","Mon Feb 24 10:04:07 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","27531","User can open and view book's details in the Book Store","Surefire suite","Mon Feb 24 10:04:38 GMT 2025","failed","Mon Feb 24 10:05:05 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
