"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","360262","User can open and view book's details in the Book Store","Surefire suite","Mon May 26 06:24:48 GMT 2025","broken","Mon May 26 06:30:48 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","5585","User is able to add a book into his collection from Book Store","Surefire suite","Mon May 26 06:24:59 GMT 2025","failed","Mon May 26 06:25:05 GMT 2025","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","2058","User can see all available books in the Book Store","Surefire suite","Mon May 26 06:24:44 GMT 2025","passed","Mon May 26 06:24:46 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","0","checkConsoleErrors","Surefire suite","Mon May 26 06:33:48 GMT 2025","broken","Mon May 26 06:33:48 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","checkConsoleErrors"
"","1277","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon May 26 06:24:37 GMT 2025","passed","Mon May 26 06:24:38 GMT 2025","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
