"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1347","User can see all available books in the Book Store","Surefire suite","Mon Apr 14 06:23:58 GMT 2025","passed","Mon Apr 14 06:23:59 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","795","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Apr 14 06:23:42 GMT 2025","passed","Mon Apr 14 06:23:43 GMT 2025","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","7526","User is able to add a book into his collection from Book Store","Surefire suite","Mon Apr 14 06:24:12 GMT 2025","failed","Mon Apr 14 06:24:20 GMT 2025","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","28006","User can open and view book's details in the Book Store","Surefire suite","Mon Apr 14 06:24:29 GMT 2025","failed","Mon Apr 14 06:24:57 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
