"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7586","User is able to add a book into his collection from Book Store","Surefire suite","Mon Nov 11 06:21:00 GMT 2024","failed","Mon Nov 11 06:21:08 GMT 2024","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","582","User can see all available books in the Book Store","Surefire suite","Mon Nov 11 06:20:47 GMT 2024","passed","Mon Nov 11 06:20:47 GMT 2024","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","1158","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Nov 11 06:20:34 GMT 2024","passed","Mon Nov 11 06:20:35 GMT 2024","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","28202","User can open and view book's details in the Book Store","Surefire suite","Mon Nov 11 06:21:19 GMT 2024","failed","Mon Nov 11 06:21:47 GMT 2024","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
