"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6963","User is able to add a book into his collection from Book Store","Surefire suite","Mon Apr 27 08:17:45 UTC 2026","failed","Mon Apr 27 08:17:52 UTC 2026","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","10128","User can see all available books in the Book Store","Surefire suite","Mon Apr 27 08:17:44 UTC 2026","broken","Mon Apr 27 08:17:54 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","2444","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Apr 27 08:17:29 UTC 2026","passed","Mon Apr 27 08:17:31 UTC 2026","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","6953","User can open and view book's details in the Book Store","Surefire suite","Mon Apr 27 08:18:02 UTC 2026","failed","Mon Apr 27 08:18:08 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
