"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28583","User can open and view book's details in the Book Store","Surefire suite","Mon Jan 12 06:32:23 UTC 2026","failed","Mon Jan 12 06:32:52 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","1282","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Jan 12 06:32:03 UTC 2026","passed","Mon Jan 12 06:32:04 UTC 2026","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","568","User can see all available books in the Book Store","Surefire suite","Mon Jan 12 06:32:11 UTC 2026","passed","Mon Jan 12 06:32:12 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","5644","User is able to add a book into his collection from Book Store","Surefire suite","Mon Jan 12 06:32:28 UTC 2026","failed","Mon Jan 12 06:32:33 UTC 2026","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
