"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","859","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Apr 21 06:22:28 GMT 2025","passed","Mon Apr 21 06:22:29 GMT 2025","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","27725","User can open and view book's details in the Book Store","Surefire suite","Mon Apr 21 06:23:07 GMT 2025","failed","Mon Apr 21 06:23:34 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","7370","User is able to add a book into his collection from Book Store","Surefire suite","Mon Apr 21 06:22:47 GMT 2025","failed","Mon Apr 21 06:22:55 GMT 2025","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","1026","User can see all available books in the Book Store","Surefire suite","Mon Apr 21 06:22:35 GMT 2025","passed","Mon Apr 21 06:22:36 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
