"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28262","User can open and view book's details in the Book Store","Surefire suite","Mon Dec 08 06:30:44 UTC 2025","failed","Mon Dec 08 06:31:12 UTC 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","643","User can see all available books in the Book Store","Surefire suite","Mon Dec 08 06:30:13 UTC 2025","passed","Mon Dec 08 06:30:14 UTC 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","5676","User is able to add a book into his collection from Book Store","Surefire suite","Mon Dec 08 06:30:20 UTC 2025","failed","Mon Dec 08 06:30:26 UTC 2025","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","1656","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Dec 08 06:30:07 UTC 2025","passed","Mon Dec 08 06:30:09 UTC 2025","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
