"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1220","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Mar 30 07:22:57 UTC 2026","passed","Mon Mar 30 07:22:58 UTC 2026","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","6911","User is able to add a book into his collection from Book Store","Surefire suite","Mon Mar 30 07:23:19 UTC 2026","failed","Mon Mar 30 07:23:26 UTC 2026","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","6897","User can open and view book's details in the Book Store","Surefire suite","Mon Mar 30 07:23:36 UTC 2026","failed","Mon Mar 30 07:23:43 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","10086","User can see all available books in the Book Store","Surefire suite","Mon Mar 30 07:23:18 UTC 2026","broken","Mon Mar 30 07:23:28 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
