"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8071","User is able to add a book into his collection from Book Store","Surefire suite","Mon Mar 03 06:22:25 GMT 2025","failed","Mon Mar 03 06:22:33 GMT 2025","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","27673","User can open and view book's details in the Book Store","Surefire suite","Mon Mar 03 06:22:42 GMT 2025","failed","Mon Mar 03 06:23:10 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","897","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Mar 03 06:21:47 GMT 2025","passed","Mon Mar 03 06:21:48 GMT 2025","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","625","User can see all available books in the Book Store","Surefire suite","Mon Mar 03 06:22:12 GMT 2025","passed","Mon Mar 03 06:22:13 GMT 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
