"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3947","User can see all available books in the Book Store","Surefire suite","Mon Jan 26 06:32:40 UTC 2026","passed","Mon Jan 26 06:32:44 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","28294","User can open and view book's details in the Book Store","Surefire suite","Mon Jan 26 06:33:20 UTC 2026","failed","Mon Jan 26 06:33:49 UTC 2026","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
"","986","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Jan 26 06:32:33 UTC 2026","passed","Mon Jan 26 06:32:34 UTC 2026","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","7584","User is able to add a book into his collection from Book Store","Surefire suite","Mon Jan 26 06:32:56 UTC 2026","failed","Mon Jan 26 06:33:03 UTC 2026","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
