"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6999","User is able to add a book into his collection from Book Store","Surefire suite","2026-06-15","failed","2026-06-15","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","10153","User can see all available books in the Book Store","Surefire suite","2026-06-15","broken","2026-06-15","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","3106","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","2026-06-15","passed","2026-06-15","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","7016","User can open and view book's details in the Book Store","Surefire suite","2026-06-15","failed","2026-06-15","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
