"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2452","User can see all available books in the Book Store","Surefire suite","Mon Nov 17 06:27:09 UTC 2025","passed","Mon Nov 17 06:27:12 UTC 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_001"
"","1428","User is able to delete a book from his collection by DELETE /Book api","Surefire suite","Mon Nov 17 06:27:07 UTC 2025","passed","Mon Nov 17 06:27:09 UTC 2025","sample.automation.tests.api.ApiDeleteBooksTest","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001"
"","0","checkConsoleErrors","Surefire suite","Mon Nov 17 06:36:22 UTC 2025","broken","Mon Nov 17 06:36:22 UTC 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","checkConsoleErrors"
"","7637","User is able to add a book into his collection from Book Store","Surefire suite","Mon Nov 17 06:27:24 UTC 2025","failed","Mon Nov 17 06:27:32 UTC 2025","sample.automation.tests.ui.AddBookIntoCollectionTest","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003"
"","361110","User can open and view book's details in the Book Store","Surefire suite","Mon Nov 17 06:27:21 UTC 2025","broken","Mon Nov 17 06:33:22 UTC 2025","sample.automation.tests.ui.ViewBooksTest","Surefire test","sample.automation.tests.ui.ViewBooksTest","demo_002"
